Ten_SP,Danh_Muc,Mo_Ta
"Combo 4 Loại Cải (Cải Thìa, Cải Bẹ Xanh, Cải ngồng, Cải Bẹ Dún)",Rau củ,Đang cập nhật...
"Combo 4 loại Rau Củ (Cải Thìa, Rau Muống, Bí Xanh, Bầu Sao)",Rau củ,Đang cập nhật...
"Combo 4 Loại Rau (Cải thìa, Cải Ngọt, Mồng Tơi, Rau muống)",Rau củ,Đang cập nhật...
Rau mồng tơi,Rau củ,"Hàng đảm bảo tươi ngon, không dập nát hay úa vàng, rau được thu hái trong ngày và bảo quản kỹ càng trong môi trường đạt chuẩn."
Cải ngọt,Rau củ,Đang cập nhật...
Rau muống nước,Rau củ,Đang cập nhật...
Cải ngồng,Rau củ,"Tươi ngon, không dập: Mỗi gói rau cải ngồng đều được chọn lọc và kiểm tra kỹ càng, đảm bảo tươi mới, không dập nát hay úa héo, giữ nguyên độ giòn ngọt tự nhiên."
Rau mồng tơi,Rau củ,"Hàng đảm bảo tươi ngon, không dập nát hay úa vàng, rau được thu hái trong ngày và bảo quản kỹ càng trong môi trường đạt chuẩn."
Cải bẹ xanh,Rau củ,Đang cập nhật...
Cải thìa,Rau củ,Đang cập nhật...
Rau muống nước,Rau củ,Đang cập nhật...
Cải ngọt,Rau củ,Đang cập nhật...
Rau muống hạt,Rau củ,"Hàng đảm bảo tươi ngon, không dập nát, được chọn lọc kỹ càng từ nguồn cung uy tín."
Rau dền,Rau củ,"Rau tươi xanh mướt, không lo hư hỏng: rau dền tại Bách hóa XANH được vận chuyển nhanh chóng, đảm bảo độ tươi ngon, lá tươi non, không bị dập nát, mang đến trải nghiệm ẩm thực tuyệt vời."
Cải bẹ dún,Rau củ,Đang cập nhật...
Rau lang,Rau củ,"Tươi non, không lo già xơ: rau lang tại Bách hóa XANH được chọn lọc từ những đọt non xanh mướt, không bị già xơ hay sâu bệnh, mang đến hương vị ngọt bùi tự nhiên và dễ chế biến."
